# Extracted from http://download.geofabrik.de/europe/great-britain/england/hertfordshire.html using SimpleExtractRegionCsv
# © OpenStreetMap contributors - see http://www.openstreetmap.org/copyright for license information
# From node id,From node contractable?,From Lat,From lon,To node id,To node contractable?,To lat,To lon,Distance between from and to nodes
674981,Y,51.778037,-0.221497,2851894541,Y,51.777995,-0.221667,12.577
2851894541,Y,51.777995,-0.221667,243510666,Y,51.777935,-0.221903,17.594
247514,Y,51.760913,-0.243119,261679766,Y,51.760987,-0.243022,10.544
261679766,Y,51.760987,-0.243022,261679767,Y,51.761106,-0.242810,19.722
261679767,Y,51.761106,-0.242810,32960700,Y,51.761168,-0.242707,9.872
32960700,Y,51.761168,-0.242707,1145406788,Y,51.761352,-0.242417,28.578
675152,Y,51.760464,-0.242905,261679765,Y,51.760400,-0.242995,9.406
261679765,Y,51.760400,-0.242995,261679738,Y,51.760342,-0.243063,8.025
261679738,Y,51.760342,-0.243063,261679764,Y,51.760289,-0.243117,6.908
261679764,Y,51.760289,-0.243117,261679739,Y,51.760232,-0.243182,7.794
261679739,Y,51.760232,-0.243182,675153,Y,51.759994,-0.243369,29.385
675155,Y,51.752822,-0.244940,32952066,Y,51.752791,-0.244738,14.367
32952066,Y,51.752791,-0.244738,196974,Y,51.752726,-0.244566,13.871
196974,Y,51.752726,-0.244566,1606965958,Y,51.752697,-0.244528,4.122
1606965958,Y,51.752697,-0.244528,32951996,Y,51.752629,-0.244439,9.732
32951996,Y,51.752629,-0.244439,196975,Y,51.752464,-0.244354,19.294
196975,Y,51.752464,-0.244354,32951997,Y,51.752288,-0.244346,19.611
32951997,Y,51.752288,-0.244346,1814593251,Y,51.752194,-0.244400,11.039
1814593251,Y,51.752194,-0.244400,1145402549,Y,51.752066,-0.244532,16.933
1145402549,Y,51.752066,-0.244532,1145402552,Y,51.751983,-0.244695,14.513
1145402552,Y,51.751983,-0.244695,196976,Y,51.751955,-0.244813,8.731
32951997,Y,51.752288,-0.244346,675156,Y,51.752190,-0.244351,10.837
675156,Y,51.752190,-0.244351,32952080,Y,51.751987,-0.244331,22.693
32952080,Y,51.751987,-0.244331,32952015,Y,51.751864,-0.244294,13.882
32952015,Y,51.751864,-0.244294,1814593252,Y,51.751201,-0.243979,76.821
1814593252,Y,51.751201,-0.243979,32950653,Y,51.751042,-0.243938,17.937
674985,Y,51.745184,-0.224798,33037518,Y,51.744701,-0.225982,97.603
33037518,Y,51.744701,-0.225982,674985,Y,51.745184,-0.224798,97.603
33037518,Y,51.744701,-0.225982,33037519,Y,51.743888,-0.227896,159.811
33037519,Y,51.743888,-0.227896,33037518,Y,51.744701,-0.225982,159.811
33037519,Y,51.743888,-0.227896,569112061,Y,51.743730,-0.228260,30.572
